# Title : in-situ files catalog
# Description : catalog of available in-situ files
# Project : Copernicus Marine In Situ TAC
# Format : 1.4
# Date of update : 2021-02-08T19:15:41Z
# product_id,file_name,geospatial_lat_min,geospatial_lat_max,geospatial_lon_min,geospatial_lon_max,time_coverage_start,time_coverage_end,institution,date_update,data_mode,parameters
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201601/GL_TS_BO_FNFP_201601.nc,49.88334,55.36666,-1.15000,8.10000,2016-01-21T09:33:00Z,2016-01-31T07:26:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-07T13:09:42Z,D,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201604/GL_TS_BO_FNAV_201604.nc,27.61667,59.53333,-34.33333,22.70000,2016-04-07T11:13:00Z,2016-04-30T13:11:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:52:10Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201612/GL_TS_BO_OXYH2_201612.nc,57.02000,66.68000,-54.13000,10.81000,2016-12-02T00:00:00Z,2016-12-26T07:30:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:59:33Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201701/GL_TS_BO_OXYH2_201701.nc,57.65000,63.37000,-51.55000,8.00000,2017-01-09T00:15:00Z,2017-01-30T08:43:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:59:32Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/BO/201708/GL_TS_BO_OXYH2_201708.nc,57.75000,64.07000,-52.12000,10.27000,2017-08-09T09:40:00Z,2017-08-22T06:50:00Z,IRD  Institut de recherche pour le developpement - Brest,2019-05-10T10:59:34Z,R,POSITIONING_SYSTEM DC_REFERENCE DEPH DEPH_DM PSAL PSAL_DM
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201601/GL_PR_CT_DBKR_201601.nc,54.07780,55.25020,10.45000,15.98430,2016-01-26T09:13:00Z,2016-01-30T23:18:00Z,Unknown institution,2019-05-11T11:14:36Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH PRES DOX1 TEMP PSAL DOX2
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201601/GL_PR_CT_FNFP_201601.nc,49.41967,55.37220,-1.14000,8.11820,2016-01-21T07:21:00Z,2016-01-31T22:03:00Z,IFREMER  Institut Francais de Recherche pour l'Exploitation de la Mer,2020-08-08T12:13:08Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES TEMP PSAL TUR4 LGHT FLU2
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201601/GL_PR_CT_LINW_201601.nc,57.64370,59.59200,8.06630,11.16130,2016-01-13T07:25:48Z,2016-01-18T10:48:00Z,Unknown institution,2019-07-29T12:14:15Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES TEMP PSAL
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201601/GL_PR_CT_OHLV_201601.nc,54.97120,65.38400,10.50430,27.76520,2016-01-07T19:00:00Z,2016-01-31T19:19:12Z,Unknown institution,2019-05-11T13:47:11Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES TEMP PSAL DOX1
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201601/GL_PR_CT_OYTJ_201601.nc,56.21020,58.68720,8.52000,12.53970,2016-01-19T05:34:48Z,2016-01-31T06:04:48Z,Unknown institution,2019-05-11T13:51:42Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP PSAL NTRA DOX1 PHOS SLCA CHLT
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201602/GL_PR_CT_DBFH_201602.nc,54.08300,55.29350,11.03820,15.04150,2016-02-03T12:31:48Z,2016-02-29T14:58:12Z,Unknown institution,2019-05-11T11:08:47Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES PSAL TEMP DOX2
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201602/GL_PR_CT_DBFM_201602.nc,54.46350,54.84550,9.62930,10.37000,2016-02-25T08:19:48Z,2016-02-29T15:18:00Z,Unknown institution,2019-05-11T11:10:40Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201602/GL_PR_CT_DBKR_201602.nc,54.46570,55.46630,12.21600,15.98320,2016-02-06T16:04:47Z,2016-02-07T23:48:00Z,Unknown institution,2019-05-11T11:14:36Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH TEMP PSAL DOX2
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201602/GL_PR_CT_DBND_201602.nc,54.08320,54.95420,10.44970,14.28400,2016-02-04T08:45:00Z,2016-02-06T07:28:48Z,Germany (Unknown),2019-05-11T11:19:06Z,R,DC_REFERENCE DATA_MODE DIRECTION DEPH DOX2 PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201602/GL_PR_CT_LINW_201602.nc,57.64320,59.66170,8.76250,11.37320,2016-02-01T14:10:48Z,2016-02-05T15:01:48Z,Unknown institution,2019-07-29T12:14:19Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES PSAL TEMP
COP-BO-01,ftp://nrt.cmems-du.eu/Core/INSITU_BAL_NRT_OBSERVATIONS_013_032/bal_multiparameter_nrt/monthly/CT/201602/GL_PR_CT_OHLV_201602.nc,57.11700,59.78300,17.66650,21.74680,2016-02-01T12:25:12Z,2016-02-04T13:40:48Z,Unknown institution,2019-06-26T12:00:58Z,R,DC_REFERENCE DATA_MODE DIRECTION PRES TEMP PSAL DOX1
